timestamps,TP9,AF7,AF8,TP10,Right AUX
1627808620.828,11.719,-14.160,-16.113,0.000,0.000
1627808620.832,-15.137,-19.043,-13.672,-20.020,0.000
1627808620.835,-48.340,-19.043,-13.672,-64.453,0.000
1627808620.839,-19.531,-17.090,-14.160,-45.410,0.000
1627808620.843,27.344,-14.648,-12.695,11.230,0.000
1627808620.847,14.160,-11.719,-8.789,15.625,0.000
1627808620.851,-35.156,-13.672,-11.719,-35.156,0.000
1627808620.855,-28.320,-12.695,-16.602,-47.363,0.000
1627808620.859,22.949,-9.766,-7.324,4.395,0.000
1627808620.863,10.742,-1.953,-5.371,11.230,0.000
1627808620.867,-36.133,-16.113,-12.207,-39.551,0.000
1627808620.871,-40.039,-22.949,-15.625,-67.871,0.000
1627808620.875,-1.465,-20.020,-12.695,-32.227,0.000
1627808620.878,11.230,-21.973,-10.254,0.977,0.000
1627808620.882,-41.504,-30.762,-16.113,-43.457,0.000
1627808620.886,-65.430,-34.180,-16.602,-79.102,0.000
1627808620.890,-13.184,-21.973,-12.695,-40.039,0.000
1627808620.894,19.531,-21.484,-12.207,0.488,0.000
1627808620.898,-24.902,-33.691,-17.578,-24.414,0.000
1627808620.902,-61.523,-32.227,-21.973,-73.242,0.000
1627808620.906,-26.367,-18.555,-16.113,-61.035,0.000
1627808620.910,14.160,-15.625,-12.207,-13.184,0.000
1627808620.914,-8.301,-18.555,-13.184,-14.160,0.000
1627808620.917,-54.688,-19.043,-15.137,-63.477,0.000
1627808620.921,-48.340,-20.508,-15.625,-74.219,0.000
1627808620.925,4.883,-27.832,-9.766,-19.043,0.000
1627808620.929,9.766,-16.113,-4.395,3.906,0.000
1627808620.933,-41.016,-22.461,-10.254,-44.434,0.000
1627808620.937,-55.664,-32.715,-12.695,-71.777,0.000
1627808620.941,-8.789,-20.508,-5.371,-27.344,0.000
1627808620.945,8.301,-20.020,-7.812,8.301,0.000
1627808620.949,-39.062,-27.344,-14.648,-25.391,0.000
1627808620.953,-69.336,-27.832,-17.090,-69.824,0.000
1627808620.957,-32.715,-28.320,-16.602,-51.758,0.000
1627808620.960,4.395,-21.973,-15.137,-2.441,0.000
1627808620.964,-30.273,-25.879,-18.066,-18.066,0.000
1627808620.968,-76.660,-33.691,-22.461,-70.312,0.000
1627808620.972,-47.363,-22.949,-18.066,-56.641,0.000
1627808620.976,-6.348,-20.508,-17.578,-10.254,0.000
1627808620.980,-20.996,-22.949,-15.625,-9.277,0.000
1627808620.984,-64.941,-26.367,-11.230,-53.711,0.000
1627808620.988,-65.918,-20.996,-16.602,-66.895,0.000
1627808620.992,-17.090,-13.184,-17.090,-20.508,0.000
1627808620.996,-14.648,-24.902,-17.578,0.977,0.000
1627808621.000,-60.059,-19.531,-21.484,-35.645,0.000
1627808621.003,-71.289,-19.531,-19.531,-65.918,0.000
1627808621.007,-21.484,-18.555,-10.742,-28.320,0.000
1627808621.011,10.254,-13.672,-6.348,14.160,0.000
1627808621.015,-33.203,-21.484,-10.254,-20.020,0.000
1627808621.019,-71.289,-20.996,-11.230,-67.383,0.000
1627808621.023,-35.645,-16.113,-3.418,-43.457,0.000
1627808621.027,2.930,-12.695,-5.371,4.883,0.000
1627808621.031,-25.879,-13.184,-15.625,-7.324,0.000
1627808621.035,-67.383,-22.949,-17.578,-55.664,0.000
1627808621.039,-45.898,-25.879,-10.742,-59.570,0.000
1627808621.042,-0.977,-21.973,-8.301,-13.184,0.000
1627808621.046,-11.719,-21.973,-13.672,0.488,0.000
1627808621.050,-54.199,-18.066,-17.578,-43.457,0.000
1627808621.054,-58.105,-7.324,-15.625,-66.406,0.000
1627808621.058,-10.254,-21.973,-12.207,-21.484,0.000
1627808621.062,2.930,-24.902,-17.090,7.812,0.000
1627808621.066,-40.039,-11.719,-20.508,-30.273,0.000
1627808621.070,-66.406,-16.602,-20.996,-68.848,0.000
1627808621.074,-33.203,-21.973,-20.996,-40.527,0.000
1627808621.078,-5.371,-17.090,-17.578,0.488,0.000
1627808621.082,-37.598,-18.555,-18.066,-16.113,0.000
1627808621.085,-67.383,-21.973,-21.484,-62.012,0.000
1627808621.089,-39.062,-15.137,-20.508,-51.270,0.000
1627808621.093,2.930,-9.766,-15.137,3.418,0.000
1627808621.097,-16.113,-12.695,-17.578,3.906,0.000
1627808621.101,-59.082,-15.625,-22.461,-49.316,0.000
1627808621.105,-49.316,-17.090,-19.531,-64.453,0.000
1627808621.109,-9.766,-20.508,-15.137,-22.949,0.000
1627808621.113,-7.324,-20.508,-13.672,-5.371,0.000
1627808621.117,-53.223,-20.020,-17.578,-47.852,0.000
1627808621.121,-70.801,-20.996,-23.438,-85.938,0.000
1627808621.125,-26.855,-20.020,-22.461,-49.805,0.000
1627808621.128,-11.719,-12.207,-21.973,-20.020,0.000
1627808621.132,-53.711,-24.902,-23.438,-55.176,0.000
1627808621.136,-78.613,-26.367,-24.414,-93.750,0.000
1627808621.140,-43.457,-19.531,-25.879,-68.359,0.000
1627808621.144,-5.859,-20.996,-16.602,-16.113,0.000
1627808621.148,-30.762,-18.555,-11.230,-27.832,0.000
1627808621.152,-71.289,-24.902,-18.555,-74.707,0.000
1627808621.156,-49.805,-20.020,-18.555,-61.523,0.000
1627808621.160,-2.930,-21.973,-3.906,-6.348,0.000
1627808621.164,-22.461,-26.855,-3.906,-5.371,0.000
1627808621.168,-72.754,-27.344,-12.695,-53.711,0.000
1627808621.171,-63.477,-25.391,-12.695,-65.918,0.000
