timestamps,TP9,AF7,AF8,TP10,Right AUX
1627808095.831,-49.805,-10.742,-24.902,-54.688,0.000
1627808095.835,-26.855,-17.578,-21.973,-34.180,0.000
1627808095.839,4.883,-18.555,-17.578,8.789,0.000
1627808095.843,-7.324,-14.160,-15.137,-4.883,0.000
1627808095.847,-40.527,-16.602,-15.625,-55.664,0.000
1627808095.851,-29.785,-17.090,-14.160,-53.223,0.000
1627808095.854,11.230,-8.789,-8.301,-3.418,0.000
1627808095.858,5.371,-11.230,-8.301,2.930,0.000
1627808095.862,-27.344,-16.602,-17.090,-43.945,0.000
1627808095.866,-29.297,-15.625,-17.090,-54.688,0.000
1627808095.870,0.000,-14.648,-15.625,-11.719,0.000
1627808095.874,7.324,-16.113,-15.625,7.324,0.000
1627808095.878,-18.066,-15.625,-16.602,-24.902,0.000
1627808095.882,-33.691,-13.184,-17.090,-55.176,0.000
1627808095.886,-12.207,-15.625,-16.113,-26.855,0.000
1627808095.890,7.812,-15.137,-9.766,8.301,0.000
1627808095.893,-13.184,-16.602,-9.277,-13.672,0.000
1627808095.897,-38.574,-20.996,-14.160,-48.828,0.000
1627808095.901,-18.555,-18.555,-16.113,-25.391,0.000
1627808095.905,16.602,-7.812,-14.648,23.438,0.000
1627808095.909,0.977,-5.371,-16.113,7.812,0.000
1627808095.913,-43.945,-18.555,-21.973,-45.898,0.000
1627808095.917,-41.504,-20.508,-19.043,-45.410,0.000
1627808095.921,2.930,-14.648,-14.160,-4.395,0.000
1627808095.925,8.301,-11.230,-9.766,4.395,0.000
1627808095.929,-29.297,-16.113,-16.113,-36.621,0.000
1627808095.933,-41.992,-26.855,-23.438,-57.617,0.000
1627808095.936,-8.789,-20.996,-20.020,-13.672,0.000
1627808095.940,6.348,-14.648,-16.602,12.695,0.000
1627808095.944,-33.203,-26.855,-21.484,-32.227,0.000
1627808095.948,-57.129,-29.297,-22.461,-62.988,0.000
1627808095.952,-22.949,-21.484,-20.508,-29.297,0.000
1627808095.956,5.859,-16.602,-20.508,3.418,0.000
